tweet	date	svm	nb	sa-score	sa-rounded
"The Trump administration has alerted Congress of its intent to move forward with three advanced weapons sales to Taiwan, sources say https://t.co/jaDSl9EszI "	10/12/20	1	1	-0.2263	-1
"When it comes to international recognition, even when Taiwan wins, it loses | Analysis by @jgriffiths https://t.co/kQZn8YTmgf https://t.co/FD3ntyWq3Y "	9/29/20	0	0	0.34	1
"When it comes to international recognition, even when Taiwan wins, it loses | Analysis by @jgriffiths https://t.co/nDxh9DC9kV https://t.co/kTpnMbAFGN "	9/29/20	0	0	0.34	1
"Initial, early responses in China were critical in preventing the spread of coronavirus in Taiwan, potentially saving thousands of lives. Everyday life there is now very different from a lot of places worldwide where leaders weren't quick to act. https://t.co/brujBUPNTT "	9/22/20	0	0	-0.34	-1
A high-profile United States official is visiting Taiwan for the second time in two months https://t.co/1Gn3v1cMIN 	9/18/20	0	0	0.4215	1
"The Trump administration is expected to soon approve another major weapons sale including drones to Taiwan, sources say. The move comes as the US and Taiwan are strengthening ties and amid mounting tensions between Washington and Beijing. https://t.co/6Vjo6qnlJ1 "	9/17/20	0	0	-0.34	-1
Hong Kong was once a safe haven from China. Now activists are fleeing the city by boat to Taiwan https://t.co/inuIg1HVJK https://t.co/K39uUNat1l 	9/15/20	0	0	0.4404	1
Taiwan appears determined to create an anti-Beijing alliance as Chinese state media warns of potential sanctions against US | Analysis by @jgriffiths https://t.co/kuDMokyfcP https://t.co/UHJGqn4ADL 	9/9/20	0	0	0.4767	1
A 3-year-old girl was caught in a kite and swept high into the air at a kite-flying festival in Taiwan. 	8/31/20	0	0	0.4939	1
A 3-year-old girl was caught in a kite and swept high into the air at a kite-flying festival in Taiwan. 	8/31/20	0	0	0.4939	1
Taiwan will receive 66 new American-made F-16 fighter jets in the biggest arms sale to the self-governing island in years. 	8/17/20	0	0	0.1531	1
"With Washington moving closer to Taiwan, and the upcoming US presidential election likely to further destabilize the already volatile US-China relationship, Taipei could find itself in a precarious position with Beijing https://t.co/O02o4CQKTd "	8/14/20	0	0	0	0
"A megamouth shark that was captured by fishers off the coast of Taiwan in 2018 is sitting on a gigantic block of ice at the Smithsonian. Researchers hope to unravel clues about this mysterious animal's life, but they will be working against the clock. https://t.co/LAbO4ziCU1 "	8/11/20	0	0	0	0
China is stepping up military drills around East Asia as a war of words with the United States heats up over Washington's military activities and the visit of a US cabinet secretary to Taiwan. https://t.co/dij1qYOCCW 	8/11/20	0	0	-0.2732	-1
"Alex Azar, the United States Health and Human Services secretary, met with Taiwanese President Tsai Ing-wen Monday, the highest-level meeting between Washington and the self-ruled island in decades. https://t.co/WVNE9maLIp "	8/10/20	0	0	0.4215	1
"Alex Azar, the United States Health and Human Services secretary, met with Taiwanese President Tsai Ing-wen Monday, the highest-level meeting between Washington and the self-ruled island in decades. https://t.co/hNZRWlMtmo "	8/10/20	0	0	0.4215	1
"United States Health and Human Services Secretary Alex Azar will lead a delegation to Taiwan, his office announced Tuesday, in a high-level trip that is almost certain to anger Beijing, which claims the self-governing island as part of its territory. https://t.co/dBHX6XNEUP "	8/5/20	0	0	0.044	1
An airline in Taiwan is introducing a special flight to nowhere to help satisfy its customers' travel itch. 	8/4/20	0	0	-0.2589	-1
"Taiwan, in particular, effectively contained Covid-19 by springing to action early, coordinating a government-wide response to the virus, and clearly communicating with its citizenry, Lanhee Chen writes for @CNNOpinion https://t.co/DycIV3nFaT "	7/10/20	0	1	0.6808	1
"While most flights in Taiwan are still grounded because of the Covid-19 outbreak, Taipei Songshan Airport is offering locals a tiny taste of travel, dubbed ""pretend to go abroad"" airport tours. https://t.co/DKl4l0uJ2a "	7/3/20	0	0	-0.1027	-1
"Concerns over separatism can be seen in the hardline policies adopted by Beijing in Xinjiang, Tibet, Hong Kong, and Taiwan. Yet such policies can often backfire | Analysis by @jgriffiths https://t.co/48UXIwFxhc "	6/29/20	0	0	0	0
"As the world continues to reel from the coronavirus pandemic, China is flexing its muscles in Hong Kong, the South China Sea and along its border with India, all the while ramping up aggressive rhetoric towards Taiwan and the US | Analysis by @jgriffiths https://t.co/VlCQl8yKuW "	5/27/20	0	0	-0.1531	-1
"The president of Taiwan, where sympathy protests were held in support of Hong Kong over the weekend, vowed to ""provide Hong Kong's people with necessary assistance."" https://t.co/Kxrncaw2mX "	5/25/20	0	0	0.5106	1
"Eager to share its experiences fighting Covid-19, Taiwan is pushing for a greater voice in global health discussions. The US, Japan &amp; New Zealand have voiced support for Taiwan to join next week's World Health Assembly. "	5/16/20	0	0	0.8225	1
"The Taiwan-based company, which is the main assembler of Apple products such as the iPhone and iPad, was forced to close its factories in China in late January as much of the country was locked down to prevent the spread of the coronavirus. https://t.co/RW0lhNYozB "	5/15/20	0	0	-0.4404	-1
"Taiwan Semiconductor Manufacturing Co has announced that it plans to build a $12 billion semiconductor factory in Arizona that will create more than 1,600 high-tech jobs, with construction to start next year. https://t.co/GDntv3dfWO "	5/15/20	0	0	0.2732	1
"CDCs in South Korea and Taiwan helped those countries act swiftly, decisively and successfully against Covid-19. ... The US, conversely, suffers from pandemic amnesia, a kind of collective myopia, writes Jennifer Prah Ruger for @CNNOpinion https://t.co/vacAU8tbX3 "	5/14/20	0	1	0.3182	1
President Tsai Ing-wen announced Taiwan will be donating 10 million face masks to countries most in need https://t.co/rKDWMszTgV 	4/1/20	0	0	0	0
"The Boston Red Sox, out of an abundance of caution, have kept a prospect from Taiwan from reporting to the team's spring training complex in Fort Myers, Florida because of coronavirus fears, CNN has learned. https://t.co/11SYKI8WBG "	2/26/20	0	0	-0.1531	-1
"The Boston Red Sox, out of an abundance of caution, have kept a prospect from Taiwan from reporting to the team's spring training complex in Fort Myers, Florida because of coronavirus fears, CNN has learned. https://t.co/SwylBzFL9L "	2/26/20	0	0	-0.1531	-1
Taiwan is banning any foreign national who has visited or lived in the People’s Republic of China in the past 14 days from entering. Those needing to enter for “special reasons” can fill out a visa as long as they have not been to areas “severely affected” https://t.co/7DRQr0SijB 	2/4/20	0	0	0	0
At least 22 cases of Wuhan coronavirus have now been confirmed outside of mainland China: 	1/24/20	0	0	0	0
"Taiwan's Foxconn is best known for crafting iPhones for Apple. Now, it wants to team up with Fiat Chrysler to develop electric cars. https://t.co/ZAHgbYaV0U "	1/17/20	0	0	0.6369	1
"Peaceful unification, the idea that Taiwanese voters will choose to join a China ruled by the Communist Party is dead -- if it wasn't already years ago | Analysis by @jgriffiths https://t.co/lg3AMtyHcE "	1/13/20	0	1	0.4215	1
Taiwan's president thanks voters after winning re-election https://t.co/AowU8z5COj https://t.co/PIu4m9ZGQs 	1/11/20	0	1	0.743	1
"Taiwan goes to the polls Saturday for elections dominated more than ever by relations with Beijing, which has been accused of trying to bully voters and distort the results in its favor | Analysis by @jgriffiths https://t.co/WKytnjsQ9T https://t.co/drNqivMBje "	1/10/20	0	1	-0.6124	-1
Taiwan's top military official was among eight people killed when their Black Hawk helicopter crashed in mountains in the north of the island. https://t.co/lqJbzjKZRL 	1/2/20	0	0	-0.5719	-1
"Godfrey Gao, a Taiwanese-Canadian model and actor, has died at the age of 35 https://t.co/r1tuMYr53m "	11/27/19	0	0	-0.5574	-1
A Taiwanese tourist was arrested and fined for wearing a particularly revealing bikini on the beach at the Philippines' newly reopened resort island of Boracay https://t.co/ZY4LjgkRqP 	10/14/19	0	0	-0.4767	-1
