tweet	date	svm	nb	sa-score	sa-rounded
"At least 22 are dead and almost 200 more injured after one of Taiwan's new, faster commuter trains derailed. https://t.co/TPnLtDZOJ9 https://t.co/gDOT5y2AEF "	10/21/18	0	0	-0.8566	-1
"Cody Wilson, man behind 3-D printed gun, arrested in Taiwan amid sex assault allegations, official says https://t.co/g9Rm828ygU "	9/22/18	0	1	-0.8519	-1
"Cody Wilson, man behind 3-D printed gun, arrested in Taiwan amid sex assault allegations, official says https://t.co/6eoPJ04AoD "	9/21/18	0	1	-0.8519	-1
"Cody Wilson, gun entrepreneur accused of sex with minor, left US for Taiwan, officials say https://t.co/UZKFrZ6mSg "	9/19/18	0	0	-0.5574	-1
.@buffalobills player Taiwan Jones left bloodied after tackle https://t.co/xgPyFn0NCR 	9/17/18	0	0	0	0
Dog-shaped ice cream treats from Taiwan are freaking out the Internet https://t.co/uxmeDTQWKu 	8/20/18	0	1	-0.4215	-1
"Hippo attacks in Kenya kill 2, including Taiwan tourist taking pictures, authorities say https://t.co/wcZsIlnSWb "	8/13/18	0	0	-0.8225	-1
Taiwan's president says no one can 'obliterate' country's existence ahead of US visit https://t.co/paA1f3vfXb 	8/12/18	0	0	-0.7269	-1
Chinese media decries US' 'psychological games' as Navy ships sail Taiwan Strait passage https://t.co/U6BGqRA0rp 	7/9/18	0	0	0	0
Chinese media decries US' 'psychological games' as Navy ships sail Taiwan Strait passage https://t.co/U6BGqRRBiX 	7/9/18	0	0	0	0
China's Xi takes swipe at Trump's new 'doomed to failure' Taiwan policy in nationalistic speech https://t.co/gMVXLkYPSs 	3/20/18	0	0	-0.8176	-1
China's Xi takes swipe at Trump's new 'doomed to failure' Taiwan policy in nationalistic speech https://t.co/tLa29oBMJy (via @LukasMikelionis) 	3/20/18	0	0	-0.8176	-1
Taiwan detains developer of building where quake killed 14 https://t.co/Vld97VGPkm 	2/28/18	0	0	-0.6705	-1
"A residential building leans on a collapsed first floor following an earthquake in Hualien, southern Taiwan. Crews continue to try to rescue people from damaged buildings after a strong earthquake hit Taiwan. https://t.co/Her5o3aVy5 https://t.co/lPZchoGyCD "	2/7/18	0	0	0.3818	1
Taiwan earthquake leaves several dead as rescuers desperately search for survivors https://t.co/VYmcZXimLG 	2/7/18	0	0	-0.7845	-1
"Earthquake in Taiwan leaves 2 dead, 5 trapped, more than 170 others missing https://t.co/Sc1nYpPiTA "	2/7/18	0	0	-0.872	-1
"JUST IN: Two killed, more than 140 injured after 6.4 magnitude earthquake strikes Taiwan's coast https://t.co/L5i9GhsN3h "	2/6/18	0	0	-0.8739	-1
"6.4 magnitude earthquake shakes Taiwan, topples buildings, reports say https://t.co/L5i9GhsN3h "	2/6/18	0	1	0	0
Taiwan passport accidentally incorporates photo of Washington Dulles Airport https://t.co/blCLFH32ZQ 	12/28/17	0	0	-0.34	-1
Taiwan passport accidentally incorporates photo of Washington Dulles Airport https://t.co/8hIyA2hmaF 	12/28/17	0	0	-0.34	-1
"SPECTACULAR: Timelapse video of a #rainbow that lasted nearly nine hours was captured in Taipiei, #Taiwan. https://t.co/tAPISlkod9 "	12/5/17	0	0	0	0
John Moody: @UN tours open to terror and thug states - but not Taiwan 	7/14/17	0	0	-0.4497	-1
"Chinese carrier sails into defense zone, Taiwan says https://t.co/Bwy3rASCHK https://t.co/M7lG7hMrqE "	7/12/17	0	0	0.128	1
"Rex Tillerson: ""We've made important commitments to Taiwan... and I think we should express a reaffirmation of those."" https://t.co/q7X3CvmGLQ "	1/11/17	0	0	0.3182	1
Taiwan scrambles jets as China aircraft carrier enters Taiwan Strait https://t.co/YVnlAXicTT https://t.co/QXFVclVNg5 	1/11/17	0	0	0	0
"Cruz meets with Taiwanese president, blasts China https://t.co/zYHdoEXjJr "	1/9/17	0	0	0	0
"Taiwan's president heads to US, but won't meet with Trump https://t.co/uKYdSDgKOO https://t.co/C4vmIrSwTJ "	1/7/17	0	0	0	0
Taiwan loses diplomatic ally in move welcomed by China https://t.co/qDuqLxStLy 	12/21/16	0	0	0.0258	1
Taiwan authorities crush illegal Lamborghini https://t.co/9uSRZ9gClf 	12/15/16	0	0	-0.6369	-1
Chinese media calls Trump 'ignorant' after Taiwan comments https://t.co/O14GpT5j3Z 	12/12/16	0	0	-0.2732	-1
