article	date	svm	nb	sa-score	sa-rounded
"US weapons won't fill military gap between Taiwan and mainlandnIllustration: Liu Rui/GT The White House is moving forward with three sales of advanced weaponry to the island of Taiwan, sending in recent days a notification of the deals to Congress for approval, Reuters reported on Tuesday.This bill is much likely to be approved. Now that the White House has submitted it to Congress, there must have been the necessary back-channels of communication within the Washington's inner circles.Although the Taiwan Relations Act (TRA) of 1979 states that the US can sell only defensive weapons to the island of Taiwan, the US has been helping develop the offensive capability of the military on the island of Taiwan under the guise of self-defense.For example, a High Mobility Artillery Rocket System (HIMARS) proposed to Congress, which can launch rockets for precise strikes against landing forces or naval vessels, can also launch tactical ballistic missiles for attacks against distant targets — with definite offensive attributes.Among these weapons and equipment, HIMARS is of great concern because its lethality is very strong. In the future, the US may sell long-range precision-guided munitions to Taiwan. The degree to which US arms sale will improve the military on the island depends on what equipment is sold, ammunition and also upgrade capabilities — especially if the US readily upgrade those weapons to give them greater precision firepower at longer distances.But overall, whatever the US sells to Taiwan, the balance of military strength between the island's military and the Chinese People's Liberation Army (PLA) will not change — Chinese mainland will always retain the upper hand.This is because the PLA has a firm control of air and sea. The Chinese mainland has an absolute dominance with long-range precision striking capabilities too. Washington hopes to encourage separatist forces through the sale of select weapons and equipment. However, the strength of the military on the island remains the same. When the US sells weapons and equipment, its first purpose is to make money. Its second purpose is to cause conflicts in cross-Straits relations and counterbalance the development of the Chinese mainland. It is not sincere to help the military on the island improve its overall combat capability.However, the authorities of Taiwan regional leader Tsai Ing-wen do not seem to have a clear awareness of the aim of US arms sales. Since Tsai took office in 2016, Taiwan authorities have heavily invested in weaponry made by the US. Their dependence on support from the US to resist the Chinese mainland's pursuit of reunification is destined to be a dead end. Only by abiding by the 1992 Consensus can the island create a secure situation, and gain more opportunities to advance its development.Washington's arms sales to Taiwan have been significantly influenced by its weapon manufacturers, who have close ties with political elites at the White House. In an attempt to get more orders or make more profits for these arms dealers, some US politicians will not hesitate to sabotage China-US relations — or trigger more conflicts across the Straits.In July, China announced to sanction US company Lockheed Martin, the main contractor involved in the latest arms package to Taiwan. This was a necessary move to safeguard national interests. This can work as a kind of countermeasure and warning against US weaponry contractors selling arms which undermines the peace across the Straits. The possibility that China will increase sanctions on these dealers cannot be ruled out. They must pay the price.Additionally, the Chinese mainland should boost its military capability to safeguard peace and stability of the Straits, keeping its absolute advantage over Taiwan. In this scenario, no matter what kind of US weaponry Taiwan purchases, it will be in vain.The author is a Beijing-based military analyst. opinion@globaltimes.com.cn "	10/13/20	0	0	0.976	1
"Exposing Taiwan spying a warning, not a prelude to war: observersnPhoto: State security agency Three consecutive days of media exposure of hundreds of espionage cases involving spies from the island of Taiwan serves to warn Taiwan separatist forces, rather than a prelude to the use of force in efforts to reunify Taiwan with the mainland, observers said on Tuesday.In a special operation dubbed Thunder-2020 Crackdown, Chinese mainland state security authorities have foiled hundreds of such espionage cases involving Taiwan spies who carried out malicious activities against mainland, attempting to disrupt cross-Straits exchanges and resist the reunification of China.Major cases detailed by state media in the past two days show that the forms of such spy activities range from academic exchanges to business activities.Cheng Yu-chin's case serves as a typical one that collected information under the guise of academic exchanges, while sowing discord between China and other countries. By taking advantage of his post in Europe, Cheng established a think tank in the Czech Republic, underlying his intention to spy on the mainland, and instigate betrayal among mainland personnel to work for them.Another figure arrested in this crackdown, Lee Meng-chu, is an active member of a Taiwan separatist group who concealed his espionage activities by posing as a businessman, and was later arrested for interfering in Hong Kong affairs during the 2019 turmoil.Chinese mainland national security organs have recently launched the Thunder-2020 special operation to crack down on intelligence infiltration and sabotage activities carried out by the Democratic Progressive Party (DPP) and its spy agencies against the mainland, said Zhu Fenglian, spokesperson of the Taiwan Affairs Office of State Council, at a routine press conference on Wednesday, commenting on inquiries concerning the timing of the case exposure.In the recent past, the DPP has been stepping up their association with external anti-China forces, and frequently creating incidents and engaging in separatist activities, which severely undermined the stability and peace of the Taiwan Starts situation and harmed Chinese national sovereignty, security and development interests, Zhu said.Zhu urged the relevant parties on the island of Taiwan to follow the major historical trend of national rejuvenation, cross-Straits reunification and growing national strength, and refrain from doing things that will harm the overall interests of the Chinese people.""Spies gather intelligence in the mainland by means of interpersonal contact, taking advantage of the shared language and cultural background,"" Li Wei, a counter-terrorism expert at the China Institute of Contemporary International Relations in Beijing, told the Global Times on Tuesday.""It is hard for ordinary people to detect spies during their daily work and lives. They usually conceal their intentions at first, while gradually luring and coercing them with bribes under the guise of academic exchanges or business events,"" Li noted, adding that colleges, research institutes, and non-governmental organizations could become the main targets of espionage.Analysts pointed out that intelligence agency mainly targets three aspects. They appoint spies to poke at the mainland's military strengths and economic interests. There is also a surge in collusion with other separatist forces since the DPP stepped into office.This year's operation has revealed the close ties between secessionist forces in Hong Kong and Taiwan, with spies in Taiwan feeding off and sponsoring Hong Kong activists that caused much chaos, Yang Lixian, a research fellow at the Beijing-based Research Center of Cross-Straits Relations, told the Global Times on Tuesday, citing Lee's case, which jeopardized national security in Hong Kong.Some media that answer to the Taiwan separatist green campers had interpreted with fear that such intensive exposure served as a run-up to public opinion before the mainland turns to use force for reunification, media reported.Some even used the term ""double threat"" to refer to the mainland's recent moves, including the crackdown and the amphibious landing drills conducted off the southeastern coast, spreading panic among the local community.However, Li believes that the moves are not a prelude to the use of force, as some media speculated, or an indication of a shutdown of peace and stability across the Straits.The combination moves would send a warning to the DPP while revealing their malicious intentions to seek Taiwan secession. It also serves as a reminder to mainlanders to stay alert to spying activities.National security authorities also carried out Thunderbolt 2018 crackdown two years ago, which has identified more than 100 espionage cases. "	10/13/20	0	0	0.9527	1
"US attack arms sales shows strategic ambiguity on Taiwan fading: expertsnA soldier assigned to a combined arms brigade under the PLA 76th Group Army uses smoke bombs to create a smokescreen for concealment as he engages mock enemy with his rifle during a real-combat drill on September 26, 2020, which aims to beef up soldiers' courage and uprightness in battlefield. (eng.chinamil.com.cn/Photo by Zhang Yongqiang) The US remains persistent in pushing forward the sales of several types of attack weapons to the island of Taiwan, which experts say shows the US strategic ambiguity on Taiwan is fading, and its policy is gradually leaning toward Taiwan secession.Taiwan authority has played down the US arms deals, calling them media speculation, a move that showed that Taiwan secessionists have been deterred by the recent PLA drills, and reluctant to pay unreasonable, forced protection money to the US in the form of arms sales, Chinese mainland analysts said on Tuesday.The White House has sent a notification for approval to the US Congress over the sales for a High Mobility Artillery Rocket System (HIMARS) truck-based rocket launcher, SLAM-ER long-range air-to-ground missiles, and external sensor pods for F-16 jets that allow the real-time transmission of imagery and data from the aircraft to ground stations, Reuters reported on Tuesday, citing five sources familiar with the situation.Taiwan authorities said they have not been notified by the US, and cannot confirm the deal, Taipei-based newspaper the Liberty News reported on Tuesday.In response, Chinese Foreign Ministry spokesperson Zhao Lijian said at a regular press conference on Tuesday that China resolutely opposes the US plan to sell three types of weapons to the island of Taiwan, and will respond based on the situation.Song Zhongping, a Chinese mainland military expert and TV commentator, told the Global Times on Tuesday that the weapons are offensive in nature, and would seriously violate the August 17 Joint Communiqué.This is a provocative move to the current status in the Taiwan Straits, but will not change the power imbalance between the Chinese mainland and the island of Taiwan, as the mainland holds absolute superiority, Song said.Prior to the alleged US Congress notification, Reuters reported last month that the US is planning to sell seven major weapons systems to the island. In addition to the three in the recent notification, aerial drones, anti-ship missiles and underwater mines were also included. Reuters reported on Tuesday that they were also expected to reach Congress for approval soon.In response to the Reuters report, Taiwan's defense authority said it was ""merely speculation by local media.""Taiwan authorities did not react to US arms sales like in the past, and this showed that the US is forcing the arms sales to Taiwan, to pay protection money, Chinese mainland observers said.In May, the US approved the sale of 18 MK-48 Mod6 Advanced Technology Heavy Weight Torpedoes and related equipment for an estimated $180 million to the island of Taiwan; in July, the US announced a deal for the recertification of its Patriot Advanced Capability-3 (PAC-3) air defense missiles, at an estimated cost of $620 million. The US also finalized a deal for 66 F-16V fighter jets to Taiwan at $8 billion in August. This means Taiwan has paid $8.8 billion to the US this year.Song said that Taiwan authority is left with no choice but to pay protection money to the US, and as the PLA is demonstrating its vast military capabilities with recent military exercises, Taiwan secessionists are acknowledging that no matter what kind of weapons they buy from the US, they cannot face up to the PLA.The PLA has been conducting aerial and naval exercises and patrols in the Taiwan Straits since mid-September, and recently conducted a large-scale amphibious landing exercise off the mainland's southeastern coast near Taiwan. Starting Tuesday, it is also holding live-fire maritime drills off the coast of Zhangzhou, East China's Fujian Province, which Taiwan media said is less than 100 kilometers from Kinmen.Li Haidong, a professor at the Institute of International Relations of the China Foreign Affairs University, told the Global Times on Tuesday that the arms sales indicate the US is making its one-China policy more clear, and leaning toward supporting Taiwan secession, which is very dangerous.The US used to applied ambiguity to its one-China policy, Li said.To counter the US provocation, the PLA should continue to boost its power, maintain powerful deterrence on the Taiwan question, and strike resolutely and fast when the US or the Taiwan authority does something to harm China's sovereignty, Li said.Song said that the arms sales are also likely part of US President Donald Trump's re-election campaign to win support from US arms dealers and more votes.Beijing-based military expert Li Jie said that the US will not sacrifice its interests in a direct clash with the PLA, as it only wants to sell outdated weapons to Taiwan at a high price. "	10/13/20	0	0	0.9278	1
"Taiwan spies use cross-Straits exchanges, mainland think tank meetings to gather intelligence: sourcesnIn 2013, Kuo Jia-ying (transliteration), a female employee of Fu Hsing Broadcasting Station (FHBS) of Taiwan, started to get in touch with Tsai, and claimed that she was Tsai’s schoolmate. FHBS is a subsidiary of a Taiwan “military intelligence agency.” According to Tsai’s confession, Kuo invited him for coffee from time to time and brought him some gifts, like healthcare products, and whenever she knew that he had visited the mainland for a conference, she would call him and ask who he met, and what information he got about the mainland’s policy toward Taiwan. According to sources with the mainland’s state security agency, Kuo is a spy serving in Taiwan “military intelligence agency.” She funded Tsai’s organization, including paying rent totaling TW$360,000 ($12,600) when it encountered a funding shortage, and provided suggestions to Tsai on how to make exchanges with the mainland guests. After the separatist DPP took power in the island in 2016, cross-Straits exchanges significantly decreased. Kuo suggested Tsai establish a “pro-mainland” online media and invite mainland scholars and journalists to contribute their articles, so that they could collect intelligence. Kuo gradually seized control over the media. An anonymous officer of the state security bureau of Xiamen, Fujian Province told the Global Times that Kuo always tried to convince Tsai that everything she wanted from the mainland scholars and journalists was public information rather than classified intelligence, so it won’t cause trouble for Tsai. In the past few years, Tsai has submitted intelligence on more than 50 mainland officials, scholars and journalists to Taiwan intelligence agencies, and got paid about TW$5 million ($174,428). Kuo has always requested Tsai to collect internal information from the mainland, and also wanted him to build connections with mainland policymakers on Taiwan affairs. When Tsai got in touch with people in the mainland, he always claimed that he “supports reunification” to reduce suspicion, according to Tsai’s confession. After Tsai was convicted in July, he expressed remorse. “I have conducted cross-Straits exchanges for more than 20 years, but I didn’t expect that I would be used by the Taiwan ‘military intelligence agency’ to damage national security.” "	10/13/20	0	0	0.8225	1
"Will the US abandon strategic ambiguity over Taiwan?nVessels in the Taiwan Straits, July 20, 2017. /CGTN Photo Richard Hass, president of the Council on Foreign Relations, and David Sacks, a fellow of the council, published an article in the September issue of Foreign Affairs journal, claiming that the policy of strategic ambiguity toward the island of Taiwan needs to be replaced by a policy of strategic clarity.Joseph Bosco, the former China director for the secretary of defense, also advocated in September for the US to adopt a strategic clarity policy that he thinks is absolutely necessary.It is not surprising that some US officials and scholars have recently raised the question of strategic ambiguity again. To further strengthen the containment and suppression of China, playing the Taiwan card is the highest cost-effective. The US hopes to threaten the Chinese mainland by improving its relations with the island of Taiwan and selling arms to the island. But the comprehensive national strength and military advantages of the Chinese mainland are becoming more and more obvious, and the military capabilities on the two sides of the straits are irreversibly unbalanced. As a result, voices have arisen that the US should draw a ""red line"" to restrain the Chinese mainland.The sense of urgency among US hawks over the Chinese mainland has been heightened after Chinese military aircraft flied around the Taiwan island and officially denied the existence of the so-called median line. However, different voices regarding policy toward Taiwan are not rare. There was previously talk of abandoning Taiwan, calling on the US to rethink the strategic significance of the island during the administration of former president Barack Obama, but it never came to a real deal.The strategic ambiguity policy has been the basis of US policy toward cross-Straits relations for decades. It is also in the best interests of the US to maintain its initiative in the Taiwan Straits. From Washington's perspective, it can deter the Chinese mainland from attacking the island, while restraining Taiwan from acting recklessly in the region.The US would put itself in an awkward position if it clarifies the policy. If the US commits to helping to defend the island, the authorities in Taiwan may well believe that they have ""backers"" and may further promote ""Taiwan independence,"" which would only deepen the concerns of the Chinese mainland. This could lead to preparations for a military struggle and could even prompt the Chinese PLA to launch a pre-emptive strike on the island of Taiwan.In such a scenario, the US might choose to honor its commitment to defend the island of Taiwan and engage in direct armed conflict with the Chinese mainland. But an armed conflict between the two nuclear powers is unacceptable and would be devastating to the US. Or it could make verbal statements after Chinese mainland launches military strike on the island of Taiwan. Unfortunately, it would be a major blow to the US' international credibility and the credibility of its commitments. Thus, either option would go contrary to US interests.If strategic ambiguity shifts to strategic clarity, the situation would be similar to the restoration of the US-Taiwan military alliance, a direct assault on the one-China principle and the three communiqués between China and the US. Another choice for the US would be a more subtle expression, which states only that certain actions will be taken, but does not further elaborate what the specific actions are. However, whether and how to fulfill the commitment would greatly restrict the US.If the strategic ambiguity policy is clarified at an extreme level, China-US relations would be severely damaged, or even severed, and peace and stability across the Taiwan Straits would cease to exist.As former US national security advisor John Bolton notes in his book, President Donald Trump doesn't really care about the Taiwan question. Trump suggested that Taiwan is only the size of a pen in comparison to the Resolute desk in the Oval Office. Even if Trump is re-elected, there is little prospect of a shift to strategic clarity. If Joe Biden wins, tensions over the Taiwan Straits are something Biden's team needs to address; there may be less attention paid to the Taiwan question.One of the reasons for the US to insist on strategic ambiguity is that it does not want the Chinese mainland to reunify the island of Taiwan by force, while it fears that the island of Taiwan could deliberately make provocations thus dragging the US into a war. Also defined as the effect of ""dual deterrence,"" this factor is becoming even more important. It is not only because the danger of ""Taiwan Independence"" is growing, but also because the Chinese mainland's strength advantage over Taiwan is too obvious. Therefore, it is more necessary for the US to continue to play the role of ""dual deterrent,"" instead of rushing into danger.The author is deputy director of the Center for American Studies at Fudan University. opinion@globaltimes.com.cn "	10/13/20	1	1	0.9267	1
"Espionage betrays Tsai’s rhetoric of peacenPhoto: State security agency In a special operation dubbed Thunder-2020 Crackdown, Chinese mainland security authorities have foiled hundreds of espionage cases involving spies from the island of Taiwan and arrested a number of Taiwan spies. This is not an isolated operation, as the mainland carries out similar actions every year, given that the rising number of spying operations by Taiwan authorities in the Chinese mainland over the years.Taiwan's espionage activities against the Chinese mainland are mostly carried out in two ways - through organized intelligence espionage network systems or through social groups and individuals misrepresenting themselves who have integrated into all walks of lives in the mainland. Considering the growing number of the uncovered cases, it can be argued that Taiwan's subterfuge is increasing.Given the current complex international situation and overheated tensions between Beijing and Washington, it's very likely espionage orchestrated by Taiwan will escalate.The US will also make full use of the Taiwan card. It has boosted cooperation with relevant Taiwan authorities in intelligence work. For instance, the US has supported the island of Taiwan with satellite technologies. Related moves are aimed at turning the island into a hub for detecting and collecting intelligence on the Chinese mainland. It is reported that below the new compound of the American Institute in Taiwan, the Asia-Pacific's most powerful intelligence facility was installed. This of course is designed to spy on the Chinese mainland to satisfy the needs of the US in its confrontation with China.Taiwan is willing to be the US' pawn and coordinate with the US. Taiwan authorities under leader Tsai Ing-wen also have a need to gather more intelligence on military security, especially considering the Chinese mainland's determination to clamp down on Taiwan secessionist forces.Democratic Progressive Party (DPP) authorities in the island will pour more taxpayers money into spying technologies and spies. They will hardly scale down relevant actions because of intensifying countermoves from the Chinese mainland. The struggle for intelligence across the Straits will become fiercer and we must strengthen our national awareness over the issue, raising our vigilance against spies.During her ""Double Ten"" (October 10) address on Saturday, Tsai hypocritically said ""we will not act rashly"" and ""we are committed to upholding cross-Straits stability,"" pretending to be low-profile and peace-loving, hinting if conflicts happen, it is not her authorities' responsibility. By uncovering rampant espionage cases we have proved that she is saying one thing but doing quite another. The truth is, DPP authorities are accelerating confrontation and jeopardizing peace. The mainland unveiled the Thunder-2020 Crackdown as a warning.It can be predicted that Tsai will keep pretending to seek peace and stability in her rhetoric. But her Saturday speech shows she will accelerate the island's pace of military integration with the US, reshaping global supply chains with the West and away from China, and root out anti-secessionist forces on the island. Taiwan cannot participate in international organizations and relevant activities, but it will organize its own activities on the island, promoting the so-called alliance of the willing, as an attempt to win sympathy and support from the international community.When former Taiwan regional leader Ma Ying-jeou promoted ties with the Chinese mainland, the US and Japan at the same time, Taiwan had to some extent policy independence. But thanks to DPP authorities, the island's flexibility has vanished. Taiwan has no say in cross-Straits ties, which have totally become a subsidiary of China-US relations. The developing situation across the Straits simply matches developments in Beijing-Washington ties.How much international support will Taiwan be able to gather? Assume the island invites disaster by declaring independence, surely its leaders knows that no country will send troops to defend the island. Taiwan should be well aware of this.The author is a research fellow at the Institute of Taiwan Studies of the Chinese Academy of Social Sciences. opinion@globaltimes.com.cn "	10/13/20	0	0	0.9946	1
"New Delhi will be frustrated playing the Taiwan cardnChina India Photo: GT The Hindustan Times (HT) on Monday published an editorial titled ""A reminder for China: India is free."" The editorial attempts to justify some Indian media outlets celebrating the ""national day"" of the Taiwan island. ""India is a proud democracy. It has a free and vibrant media,"" the article reads. It has also linked Chinese side's advisory with the so-called hegemony and suppression of media.The HT editorial has overlooked a basic fact: In terms of China's sovereignty, India is not free. China won't allow other countries to break its bottom line, and this has nothing to do with democracy or freedom.India has recognized the one-China policy, and this is the foundation of China-India diplomatic relations. Some Indian media outlets have trampled on the one-China policy by celebrating Taiwan's ""national day,"" and they refused to correct their wrong position when the issue was pointed out by the Chinese embassy.Against the backdrop of China-India border tensions, some Indian media have been hyping the Taiwan question. In September, Indian media outlet News Line IFE published fake reports claiming that Taiwan shot down a Su-35 fighter jet of the People's Liberation Army, which was quickly refuted. Indian media are emboldening Taiwan secessionist forces, and some Indian elites self-righteously play tricks on the Taiwan question. They are unilaterally poisoning China-India relations.No government would allow other countries to make a fuss about its sovereignty. If Chinese media publicly support the insurgencies in Northeast India, or publish content in favor of Indian pro-separatist forces, how will New Delhi react? India's response won't be milder than that of China. Shouldn't the voices that provoke other countries' sovereignty be opposed?Some Indian media outlets must be reminded that they don't have the freedom to shake the one-China principle. India regards itself as a ""proud democracy"" and views China from the perspective of Western countries. As the China-US competition escalates, Washington has started to further manipulate the Taiwan card. Some people in India have also begun to follow Washington's steps, trying to take advantage of it.New Delhi believes that it has won the support of the US and other Western countries. Thus, it has been ramping up provocation toward China, and even tried to challenge China's bottom line. However, the US' support is unreliable, while China's counterattack is firm. India is playing with fire, and it will only be frustrated on both sides in the end. "	10/12/20	0	0	0.9514	1
"Taiwan spy used Europe academic post to infiltrate mainland, harm China-Europe ties: sourcesnLü later introduced another Taiwan spy, Vicky Tao, to Cheng, but Tao wanted Cheng to change the previous measures for intelligence gathering – suggesting Cheng collect intelligence on the mainland through his connections in Europe and the US. Cheng said he could establish an institute in the Czech Republic, which would give him opportunities to attend conferences organized by the EU. Tao agreed, and when Cheng returned to Prague, he established the “Institute of China-Europe Political and Economic Studies” under the Charles University in Prague. “By using the title of director of the institute, I can attend more international conferences, so that I can collect more intelligence,” Cheng said in his confession. In 2017, Cheng received an invitation from the Organization for Security and Cooperation in Europe to a major academic conference in Vienna. After he reported the issue to Tao, Tao was extremely excited and flew to Vienna the next day with her superior to meet Cheng, and awarded him $10,000 in cash. Cheng said in his confession that “after 1971, Taiwan representatives were not allowed to attend many international conferences, and Taiwan’s overseas personnel or ‘diplomats’ used content from local newspapers to fill their intelligence reports, which was an open secret.” “But this time, Taiwan intelligence agencies saw new hope as I could bring them firsthand intelligence from major international conferences,” Cheng noted in his confession. Tao asked Cheng to attend more major EU or NATO conferences to further learn about the views of European countries and the US on the mainland, in areas including national defense, politics, science and technology, and urged Cheng to broaden his connections, according to the officer of the state security bureau in Zhangzhou. Cheng understood how dangerous it was to serve the Taiwan intelligence agency, so he asked for a “burn after reading” software before sending his intelligence reports to Taiwan, to leave no trace. Every time Cheng traveled to the mainland, he uninstalled the software, and reinstalled it after he left the mainland, according to his confession. "	10/12/20	1	0	0.9952	1
"Washington unlikely to change Taiwan ‘strategic ambiguity’ to enrage BeijingnIllustration: Liu Rui/GT US national security adviser Robert O'Brien on Wednesday said that ""there's also a lot of ambiguity about what the US would do in response to an attack by China on Taiwan,"" according to Reuters. O'Brien was responding to a question about what options the US would have if the Chinese mainland resorts to force to reunite the island of TaiwanWhat O'Brien referred to is a long-standing US policy of ""strategic ambiguity"" regarding the US military's support for the island.Some media outlets and US political elite have recently hyped up the idea that Washington should shift away from being ambiguous to being clear and open about Taiwan.As a matter of fact, it will be difficult for Washington to achieve this sort of shift. Since the 1996 Taiwan Straits crisis, many US political elites have discussed the subject. Some of them argue that the US needs to clarify its policy on the island of Taiwan. But no consensus has yet been reached on this matter of clarity in the US.The US has been playing the island as a card as a tactic to deal with the Chinese mainland. If the US clearly states how to defend the island of Taiwan in case of an attack, it will restrain Washington's flexibility to cope with the Taiwan question. If the commitments are far from being ""sufficient,"" both the island and some of US' allies will be disappointed. Washington will be labeled as being soft on China. Furthermore, if the US makes detailed and definite commitments, it will directly challenge its one-China principle. This will jeopardize China-US relations. The Chinese mainland will firmly protect its sovereignty and territorial integrity no matter what the costs.The separatist forces in Taiwan are becoming increasingly rampant. The authorities of Taiwan regional leader Tsai Ing-wen have spared no effort to show its stance of anti-Chinese mainland sentiments. They applaud pro-US positions, hoping Washington will lend it a hand to finally achieve full secession. If the US clarifies its strategy, and makes dedicated commitments to defend the island, Taiwan separatists will be emboldened to officially pursue secession. This will put the US into an unfavorable condition, which the US is reluctant to see.In terms of the Chinese mainland, the Taiwan question concerns its core national interests. If the US crosses China's red-line over this question, Beijing would sever its diplomatic ties with the Washington. There is no doubt that Washington is clearly aware of the importance of the Chinese mainland. It will not take risks to break its ties with the Chinese mainland due to Taiwan, because the price is too high.Therefore, shifting to ""strategic clarity"" will be disadvantageous to the US. Hence, it will be hard to achieve. In fact, Washington intends to maintain the status quo, and keeps playing the trick. This seems to be the most favorable US position.As the Chinese mainland's comprehensive national strength continues to rise, the US labels China as its top rival. This makes the island of Taiwan a decent card for the US to play in order to contain the Chinese mainland's development. Therefore, Washington will no doubt continue to manipulate the Taiwan question.Recently, the Taiwan card has been played with increasing ferocity. US secretary of Health and Human Services Secretary and undersecretary of State visited the island successively. The US has reinforced its military cooperation and increased arms sales to the island too. The US seems to be attempting to make its relations with Taiwan more ""official."" However, in order to avoid provoking the Chinese mainland and for its own interests, it does not seek to officially establish diplomatic relations with Taiwan.The US general election is approaching. No matter who will win the coming presidential election, the US' Taiwan policy will maintain consistent There will be no essential difference. Yet Republicans and Democrats have different focuses. The Democratic Party will be more cautious. It emphasizes the role of Taiwan as a ""democracy paradigm"" in ""guiding"" the development of Chinese mainland. Therefore, the Democratic Party may consider not to overly complicating the Taiwan Straits situation.On the other hand, the Republican Party underlines practical interests, geopolitics, and containing the development of the Chinese mainland. There are some pro-Taiwan forces in Republican Party. Therefore, The Republican's practice seems to be more radical.The author is Deputy Director and senior fellow of the Institute of American Studies, Chinese Academy of Social Sciences. opinion@globaltimes.com.cn "	10/12/20	0	1	0.9962	1
"New Delhi will be frustrated playing the Taiwan cardnChina India Photo: GT The Hindustan Times (HT) on Monday published an editorial titled ""A reminder for China: India is free."" The editorial attempts to justify some Indian media outlets celebrating the ""national day"" of the Taiwan island. ""India is a proud democracy. It has a free and vibrant media,"" the article reads. It has also linked Chinese side's advisory with the so-called hegemony and suppression of media.The HT editorial has overlooked a basic fact: In terms of China's sovereignty, India is not free. China won't allow other countries to break its bottom line, and this has nothing to do with democracy or freedom.India has recognized the one-China policy, and this is the foundation of China-India diplomatic relations. Some Indian media outlets have trampled on the one-China policy by celebrating Taiwan's ""national day,"" and they refused to correct their wrong position when the issue was pointed out by the Chinese embassy.Against the backdrop of China-India border tensions, some Indian media have been hyping the Taiwan question. In September, Indian media outlet News Line IFE published fake reports claiming that Taiwan shot down a Su-35 fighter jet of the People's Liberation Army, which was quickly refuted. Indian media are emboldening Taiwan secessionist forces, and some Indian elites self-righteously play tricks on the Taiwan question. They are unilaterally poisoning China-India relations.No government would allow other countries to make a fuss about its sovereignty. If Chinese media publicly support the insurgencies in Northeast India, or publish content in favor of Indian pro-separatist forces, how will New Delhi react? India's response won't be milder than that of China. Shouldn't the voices that provoke other countries' sovereignty be opposed?Some Indian media outlets must be reminded that they don't have the freedom to shake the one-China principle. India regards itself as a ""proud democracy"" and views China from the perspective of Western countries. As the China-US competition escalates, Washington has started to further manipulate the Taiwan card. Some people in India have also begun to follow Washington's steps, trying to take advantage of it.New Delhi believes that it has won the support of the US and other Western countries. Thus, it has been ramping up provocation toward China, and even tried to challenge China's bottom line. However, the US' support is unreliable, while China's counterattack is firm. India is playing with fire, and it will only be frustrated on both sides in the end. "	10/12/20	0	0	0.9514	1
