tweet	date	svm	nb	sa-score	sa-rounded
"China urges the US to fully recognize the seriousness of selling arms to #Taiwan, and cancel any such plans immediately, Foreign Ministry spokesperson Zhao Lijian said on Tuesday, adding that China will respond in accordance with the situation. https://t.co/abrlfEA5PF "	10/13/20	0	0	-0.3535	-1
"A mainland spokesperson Sat slammed Tsai Ing-wen and the admin of DPP for advocating colluding with foreign forces to seek ""Taiwan independence"", adding that Tsai is deliberately misleading the people of Taiwan, and warning the Taiwan authorities to adhere to the 1992 Consensus. https://t.co/KCsUV92ioe "	10/10/20	0	0	-0.743	-1
"Chinese mainland on Wednesday voiced support for the participation of artists from the #Taiwan region in cooperation and exchange activities in the film and television sector in developing their careers on the mainland, a mainland spokesperson said. https://t.co/1Xix4pxPZm "	9/30/20	0	0	0.4019	1
"A 5.0-magnitude earthquake jolted the waters off eastern #Taiwan at 12:37 pm Beijing Time on Wednesday, according to the China Earthquake Networks Center. https://t.co/975Zhcyubu "	9/30/20	0	0	0	0
"Chinese Taipei must attend APEC's agenda as a regional economy and follow one-China principle, FM spokesperson said on Friday, after Taiwan authorities said they’re preparing the appearance of the island’s leader Tsai Ing-wen at a virtual meeting of APEC. https://t.co/owMn3w05TJ "	9/25/20	0	0	0	0
"China reiterated Taiwan is an inalienable part of China and denied the so-called mid-line in Taiwan Strait, Chinese FM said responding to the claim that the Chinese PLA military exercises carried out near the Taiwan Strait last Fri &amp; Sat crossed the mid-line of the Taiwan Strait https://t.co/aTZZ5ooOdU "	9/21/20	0	0	-0.4404	-1
"China says to take legitimate countermeasures, including targeting relevant individuals, following recent US officials' visits to its #Taiwan region, Chinese FM spokesperson said at a press conference on Monday. https://t.co/tXIZpDONzK "	9/21/20	0	0	0	0
"PLA's Eastern Theater Command conducts a live-fire drill in the Taiwan Strait starting from Friday, Ministry of National Defense spokesperson Ren Guoqiang said Fri, adding that the action is necessary to safeguard national sovereignty due to the current situation in the region. https://t.co/lTOT6Q6WXi "	9/17/20	0	0	0.4767	1
"China strongly opposes official contact between US and Taiwan and has lodged solemn representations with the US over the upcoming visit of US Undersecretary of State Keith Krach to Taiwan, FM spokesperson Wang Wenbin said on Thur. https://t.co/cDd8wGwuZR "	9/17/20	0	1	0.2023	1
"The PLA's military training activities at #Taiwan Strait are necessary to safeguard national sovereignty in consideration of the current security situation across the area, Ma Xiaoguang, spokesman with the Taiwan Affairs Office of the State Council, said on Wednesday. https://t.co/hKrmZIiCjQ "	9/16/20	0	0	0.6124	1
"China strongly condemns Czech Republic's Senate speaker's Taiwan trip, said Chinese Foreign Ministry spokesperson Hua Chunying, adding the one-China principle is the foundation of China-Czech ties and corresponding measures will be taken. (file pic) https://t.co/ZnZpSQagFn "	9/1/20	0	0	-0.296	-1
"Heart-stopping moment! 3-year-old girl was swept high into the sky after a kite tangled around her neck during a kite-flying festival in SE China's #Taiwan on Sunday. Luckily, the girl landed mostly unscathed. https://t.co/xuwa9xdLtG "	8/31/20	0	0	0.7777	1
"China will not sit by idly over Czech official's visit to Taiwan region, urging Prague to remedy the negative impacts, said Chinese Foreign Ministry spokesperson on Monday. https://t.co/zzrbHdNP9X "	8/31/20	0	0	-0.5719	-1
"Those who attempt to challenge the one-China principle on the Taiwan question are making themselves enemies of the 1.4 bln Chinese people and will have to pay a heavy price for their moves, FM Wang Yi said Mon in response to Czech Senate Speaker Milos Vystrcil's visit to Taiwan. https://t.co/bA2J5hSZ0a "	8/30/20	0	0	-0.5106	-1
